Specimen date,England,rolling_ave
2020-01-30,1.0,
2020-01-31,1.0,
2020-02-03,6.0,
2020-02-05,1.0,
2020-02-08,3.0,
2020-02-09,1.0,
2020-02-11,1.0,2.0
2020-02-12,1.0,2.0
2020-02-13,1.0,2.0
2020-02-14,1.0,1.2857142857142858
2020-02-17,1.0,1.2857142857142858
2020-02-19,1.0,1.0
2020-02-21,1.0,1.0
2020-02-23,4.0,1.4285714285714286
2020-02-24,1.0,1.4285714285714286
2020-02-25,4.0,1.8571428571428572
2020-02-26,3.0,2.142857142857143
2020-02-27,6.0,2.857142857142857
2020-02-28,12.0,4.428571428571429
2020-02-29,4.0,4.857142857142857
2020-03-01,31.0,8.714285714285714
2020-03-02,39.0,14.142857142857142
2020-03-03,51.0,20.857142857142858
2020-03-04,49.0,27.428571428571427
2020-03-05,47.0,33.285714285714285
2020-03-06,73.0,42.0
2020-03-07,47.0,48.142857142857146
2020-03-08,50.0,50.857142857142854
2020-03-09,124.0,63.0
2020-03-10,223.0,87.57142857142857
2020-03-11,354.0,131.14285714285714
2020-03-12,413.0,183.42857142857142
2020-03-13,392.0,229.0
2020-03-14,317.0,267.57142857142856
2020-03-15,397.0,317.14285714285717
2020-03-16,546.0,377.42857142857144
2020-03-17,680.0,442.7142857142857
2020-03-18,909.0,522.0
2020-03-19,931.0,596.0
2020-03-20,1082.0,694.5714285714286
2020-03-21,1034.0,797.0
2020-03-22,1209.0,913.0
2020-03-23,2017.0,1123.142857142857
2020-03-24,2021.0,1314.7142857142858
2020-03-25,2263.0,1508.142857142857
2020-03-26,2609.0,1747.857142857143
2020-03-27,2660.0,1973.2857142857142
2020-03-28,2374.0,2164.714285714286
2020-03-29,2435.0,2339.8571428571427
2020-03-30,3491.0,2550.4285714285716
2020-03-31,3759.0,2798.714285714286
2020-04-01,4082.0,3058.5714285714284
2020-04-02,4012.0,3259.0
2020-04-03,4038.0,3455.8571428571427
2020-04-04,3318.0,3590.714285714286
2020-04-05,3030.0,3675.714285714286
2020-04-06,4328.0,3795.285714285714
2020-04-07,4477.0,3897.8571428571427
2020-04-08,4222.0,3917.8571428571427
2020-04-09,4001.0,3916.285714285714
2020-04-10,3505.0,3840.1428571428573
2020-04-11,2995.0,3794.0
2020-04-12,2683.0,3744.4285714285716
2020-04-13,3303.0,3598.0
2020-04-14,3420.0,3447.0
2020-04-15,3601.0,3358.285714285714
2020-04-16,3436.0,3277.5714285714284
2020-04-17,3419.0,3265.285714285714
2020-04-18,2577.0,3205.5714285714284
2020-04-19,2081.0,3119.5714285714284
2020-04-20,3077.0,3087.285714285714
2020-04-21,2987.0,3025.4285714285716
2020-04-22,2759.0,2905.1428571428573
2020-04-23,2754.0,2807.714285714286
2020-04-24,2767.0,2714.5714285714284
2020-04-25,1811.0,2605.1428571428573
2020-04-26,1404.0,2508.4285714285716
2020-04-27,2221.0,2386.1428571428573
2020-04-28,2272.0,2284.0
2020-04-29,2339.0,2224.0
2020-04-30,2122.0,2133.714285714286
2020-05-01,1945.0,2016.2857142857142
2020-05-02,1240.0,1934.7142857142858
2020-05-03,961.0,1871.4285714285713
2020-05-04,1610.0,1784.142857142857
2020-05-05,1592.0,1687.0
2020-05-06,1428.0,1556.857142857143
2020-05-07,1436.0,1458.857142857143
2020-05-08,1016.0,1326.142857142857
2020-05-09,888.0,1275.857142857143
2020-05-10,726.0,1242.2857142857142
2020-05-11,1234.0,1188.5714285714287
2020-05-12,1097.0,1117.857142857143
2020-05-13,1077.0,1067.7142857142858
2020-05-14,900.0,991.1428571428571
2020-05-15,908.0,975.7142857142857
2020-05-16,636.0,939.7142857142857
2020-05-17,633.0,926.4285714285714
2020-05-18,937.0,884.0
2020-05-19,1025.0,873.7142857142857
2020-05-20,822.0,837.2857142857143
2020-05-21,747.0,815.4285714285714
2020-05-22,701.0,785.8571428571429
2020-05-23,455.0,760.0
2020-05-24,385.0,724.5714285714286
2020-05-25,508.0,663.2857142857143
2020-05-26,541.0,594.1428571428571
2020-05-27,547.0,554.8571428571429
2020-05-28,448.0,512.1428571428571
2020-05-29,437.0,474.42857142857144
2020-05-30,344.0,458.57142857142856
2020-05-31,306.0,447.2857142857143
2020-06-01,446.0,438.42857142857144
2020-06-02,480.0,429.7142857142857
2020-06-03,471.0,418.85714285714283
2020-06-04,388.0,410.2857142857143
2020-06-05,352.0,398.14285714285717
2020-06-06,170.0,373.2857142857143
2020-06-07,81.0,341.14285714285717
2020-06-08,11.0,279.0
